# i   j          x          y        u_x        u_y        |u|
#-------------------------------------------------------------
  0   0  0.000e+00  0.000e+00  0.000e+00 -8.675e-11  8.675e-11
  0   4  0.000e+00  2.000e-01  0.000e+00 -8.627e-11  8.627e-11
  0   8  0.000e+00  4.000e-01  0.000e+00 -8.492e-11  8.492e-11
  0  12  0.000e+00  6.000e-01  0.000e+00 -8.269e-11  8.269e-11
  0  16  0.000e+00  8.000e-01  0.000e+00 -7.963e-11  7.963e-11
  0  20  0.000e+00  1.000e+00  0.000e+00 -7.579e-11  7.579e-11
  0  24  0.000e+00  1.200e+00  0.000e+00 -7.124e-11  7.124e-11
  0  28  0.000e+00  1.400e+00  0.000e+00 -6.609e-11  6.609e-11
  0  32  0.000e+00  1.600e+00  0.000e+00 -6.044e-11  6.044e-11
  0  36  0.000e+00  1.800e+00  0.000e+00 -5.443e-11  5.443e-11
  0  40  0.000e+00  2.000e+00  0.000e+00 -4.818e-11  4.818e-11
  0  44  0.000e+00  2.200e+00  0.000e+00 -4.186e-11  4.186e-11
  0  48  0.000e+00  2.400e+00  0.000e+00 -3.560e-11  3.560e-11
  0  52  0.000e+00  2.600e+00  0.000e+00 -2.954e-11  2.954e-11
  0  56  0.000e+00  2.800e+00  0.000e+00 -2.380e-11  2.380e-11
  0  60  0.000e+00  3.000e+00  0.000e+00 -1.850e-11  1.850e-11
  0  64  0.000e+00  3.200e+00  0.000e+00 -1.371e-11  1.371e-11
  0  68  0.000e+00  3.400e+00  0.000e+00 -9.486e-12  9.486e-12
  0  72  0.000e+00  3.600e+00  0.000e+00 -5.869e-12  5.869e-12
  0  76  0.000e+00  3.800e+00  0.000e+00 -2.867e-12  2.867e-12
  0  80  0.000e+00  4.000e+00  0.000e+00 -4.699e-13  4.699e-13
  0  84  0.000e+00  4.200e+00  0.000e+00  1.348e-12  1.348e-12
  0  88  0.000e+00  4.400e+00  0.000e+00  2.626e-12  2.626e-12
  0  92  0.000e+00  4.600e+00  0.000e+00  3.412e-12  3.412e-12
  0  96  0.000e+00  4.800e+00  0.000e+00  3.763e-12  3.763e-12
  0 100  0.000e+00  5.000e+00  0.000e+00  3.737e-12  3.737e-12
  0 104  0.000e+00  5.200e+00  0.000e+00  3.396e-12  3.396e-12
  0 108  0.000e+00  5.400e+00  0.000e+00  2.801e-12  2.801e-12
  0 112  0.000e+00  5.600e+00  0.000e+00  2.015e-12  2.015e-12
  0 116  0.000e+00  5.800e+00  0.000e+00  1.097e-12  1.097e-12
  0 120  0.000e+00  6.000e+00  0.000e+00  0.000e+00  0.000e+00

  4   0  2.000e-01  0.000e+00 -0.000e+00 -8.717e-11  8.717e-11
  4   4  2.000e-01  2.000e-01 -8.695e-13 -8.668e-11  8.669e-11
  4   8  2.000e-01  4.000e-01 -1.725e-12 -8.532e-11  8.534e-11
  4  12  2.000e-01  6.000e-01 -2.550e-12 -8.307e-11  8.311e-11
  4  16  2.000e-01  8.000e-01 -3.329e-12 -7.998e-11  8.005e-11
  4  20  2.000e-01  1.000e+00 -4.045e-12 -7.611e-11  7.622e-11
  4  24  2.000e-01  1.200e+00 -4.679e-12 -7.152e-11  7.167e-11
  4  28  2.000e-01  1.400e+00 -5.213e-12 -6.632e-11  6.652e-11
  4  32  2.000e-01  1.600e+00 -5.631e-12 -6.061e-11  6.087e-11
  4  36  2.000e-01  1.800e+00 -5.919e-12 -5.453e-11  5.485e-11
  4  40  2.000e-01  2.000e+00 -6.068e-12 -4.822e-11  4.860e-11
  4  44  2.000e-01  2.200e+00 -6.076e-12 -4.183e-11  4.227e-11
  4  48  2.000e-01  2.400e+00 -5.946e-12 -3.550e-11  3.600e-11
  4  52  2.000e-01  2.600e+00 -5.688e-12 -2.939e-11  2.993e-11
  4  56  2.000e-01  2.800e+00 -5.319e-12 -2.360e-11  2.420e-11
  4  60  2.000e-01  3.000e+00 -4.860e-12 -1.826e-11  1.890e-11
  4  64  2.000e-01  3.200e+00 -4.333e-12 -1.344e-11  1.413e-11
  4  68  2.000e-01  3.400e+00 -3.763e-12 -9.208e-12  9.947e-12
  4  72  2.000e-01  3.600e+00 -3.172e-12 -5.586e-12  6.424e-12
  4  76  2.000e-01  3.800e+00 -2.581e-12 -2.588e-12  3.655e-12
  4  80  2.000e-01  4.000e+00 -2.009e-12 -2.035e-13  2.019e-12
  4  84  2.000e-01  4.200e+00 -1.469e-12  1.596e-12  2.169e-12
  4  88  2.000e-01  4.400e+00 -9.724e-13  2.851e-12  3.012e-12
  4  92  2.000e-01  4.600e+00 -5.266e-13  3.612e-12  3.650e-12
  4  96  2.000e-01  4.800e+00 -1.364e-13  3.935e-12  3.938e-12
  4 100  2.000e-01  5.000e+00  1.955e-13  3.881e-12  3.886e-12
  4 104  2.000e-01  5.200e+00  4.679e-13  3.512e-12  3.543e-12
